text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федеральное,false,116,12,0,true,TimesNewRomanPS-BoldMT,false,63,76,11,5,0.3010299956639812
государственное,false,196,12,12,true,TimesNewRomanPS-BoldMT,false,63,97,27,5,0.0
бюджетное,false,297,12,28,true,TimesNewRomanPS-BoldMT,false,63,64,37,5,
образовательное,false,364,12,38,true,TimesNewRomanPS-BoldMT,false,63,97,53,5,
учреждение,false,465,12,54,true,TimesNewRomanPS-BoldMT,false,63,69,64,5,
высшего,false,261,12,0,true,TimesNewRomanPS-BoldMT,false,78,51,7,5,0.0
образования,false,316,12,8,true,TimesNewRomanPS-BoldMT,false,78,74,19,5,0.0
РОССИЙСКАЯ,false,151,12,0,true,TimesNewRomanPS-BoldMT,false,92,94,10,5,0.0
АКАДЕМИЯ,false,249,12,11,true,TimesNewRomanPS-BoldMT,false,92,77,19,5,0.44465780490343443
НАРОДНОГО,false,330,12,20,true,TimesNewRomanPS-BoldMT,false,92,85,29,5,
ХОЗЯЙСТВА,false,418,12,30,true,TimesNewRomanPS-BoldMT,false,92,81,39,5,
И,false,216,12,0,true,TimesNewRomanPS-BoldMT,false,107,10,1,5,0.0
ГОСУДАРСТВЕННОЙ,false,229,12,2,true,TimesNewRomanPS-BoldMT,false,107,139,17,5,0.0
СЛУЖБЫ,false,372,12,18,true,TimesNewRomanPS-BoldMT,false,107,62,24,5,
при,false,175,12,0,true,TimesNewRomanPS-BoldMT,false,122,22,3,5,0.39164905395343774
ПРЕЗИДЕНТЕ,false,200,12,4,true,TimesNewRomanPS-BoldMT,false,122,88,14,5,
РОССИЙСКОЙ,false,292,12,15,true,TimesNewRomanPS-BoldMT,false,122,95,25,5,0.0
ФЕДЕРАЦИИ,false,391,12,26,true,TimesNewRomanPS-BoldMT,false,122,85,35,5,0.4822681122428943
Институт,false,180,12,0,true,TimesNewRomanPS-BoldMT,false,152,56,8,5,0.0
государственной,false,239,12,9,true,TimesNewRomanPS-BoldMT,false,152,98,24,5,0.0
службы,false,342,12,25,true,TimesNewRomanPS-BoldMT,false,152,45,31,5,
и,false,390,12,32,true,TimesNewRomanPS-BoldMT,false,152,7,33,5,0.0
управления,false,401,12,34,true,TimesNewRomanPS-BoldMT,false,152,69,44,5,0.0
Направление,false,99,12,0,false,TimesNewRomanPSMT,true,197,72,11,5,0.3010299956639812
подготовки,false,174,12,12,false,TimesNewRomanPSMT,true,197,63,22,5,0.39164905395343774
41.03.01,false,241,12,23,false,TimesNewRomanPSMT,true,197,45,31,5,
Зарубежное,false,290,12,32,false,TimesNewRomanPSMT,true,197,65,42,5,
регионоведение,false,359,12,43,false,TimesNewRomanPSMT,true,197,88,57,5,
Образовательная,false,99,12,0,false,TimesNewRomanPSMT,true,212,94,15,5,
программа,false,208,12,16,false,TimesNewRomanPSMT,true,212,59,25,5,0.0
«Информационно-аналитическое,false,283,12,26,false,TimesNewRomanPSMT,true,212,184,54,5,0.44465780490343443
обеспечение,false,483,12,55,false,TimesNewRomanPSMT,true,212,69,66,5,0.0
международного,false,99,12,0,false,TimesNewRomanPSMT,true,227,93,14,5,0.0
сотрудничества,false,203,12,15,false,TimesNewRomanPSMT,true,227,87,29,5,0.0
(с,false,302,12,30,false,TimesNewRomanPSMT,true,227,10,32,5,0.0
углубленным,false,323,12,33,false,TimesNewRomanPSMT,true,227,74,44,5,0.3010299956639812
изучением,false,409,12,45,false,TimesNewRomanPSMT,true,227,58,54,5,0.3010299956639812
иностранных,false,479,12,55,false,TimesNewRomanPSMT,true,227,73,66,5,0.44465780490343443
языков)»,false,99,12,0,false,TimesNewRomanPSMT,true,242,49,8,5,0.4822681122428943
БАКАЛАВРСКАЯ,false,242,12,0,true,TimesNewRomanPS-BoldMT,false,302,109,12,5,
РАБОТА,false,355,12,13,true,TimesNewRomanPS-BoldMT,false,302,54,19,5,0.0
«ОСОБЕННОСТИ,false,124,12,0,false,TimesNewRomanPSMT,true,332,103,12,5,
РЕАЛИЗАЦИИ,false,230,12,13,false,TimesNewRomanPSMT,true,332,86,23,5,0.0
КОНЦЕПЦИИ,false,320,12,24,false,TimesNewRomanPSMT,true,332,82,33,5,
«УМНЫЙ,false,406,12,34,false,TimesNewRomanPSMT,true,332,57,40,5,
ГОРОД»,false,466,12,41,false,TimesNewRomanPSMT,true,332,48,47,5,
В,false,518,12,48,false,TimesNewRomanPSMT,true,332,8,49,5,0.0
ИСПАНИИ,false,201,12,0,false,TimesNewRomanPSMT,true,347,64,7,5,
(НА,false,269,12,8,false,TimesNewRomanPSMT,true,347,23,11,5,0.0
ПРИМЕРЕ,false,296,12,12,false,TimesNewRomanPSMT,true,347,60,19,5,
БАРСЕЛОНЫ)»,false,359,12,20,false,TimesNewRomanPSMT,true,347,90,31,5,
Автор:,false,328,12,0,true,TimesNewRomanPS-BoldMT,false,392,40,6,5,0.3010299956639812
обучающийся,false,328,12,0,false,TimesNewRomanPSMT,true,406,77,11,5,
группы,false,408,12,12,false,TimesNewRomanPSMT,true,406,40,18,5,0.3010299956639812
ОБ17-26,false,453,12,19,false,TimesNewRomanPSMT,true,406,47,26,5,
очной,false,328,12,0,false,TimesNewRomanPSMT,true,421,33,5,5,
формы,false,364,12,6,false,TimesNewRomanPSMT,true,421,38,11,5,
обучения,false,406,12,12,false,TimesNewRomanPSMT,true,421,51,20,5,0.39164905395343774
(подпись),false,406,12,0,false,TimesNewRomanPSMT,true,454,54,9,5,
