text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федеральное,false,109,12,0,true,"Times New Roman,Bold",false,62,76,11,5,0.3010299956639812
государственное,false,189,12,12,true,"Times New Roman,Bold",false,62,96,27,5,0.0
бюджетное,false,289,12,28,true,"Times New Roman,Bold",false,62,64,37,5,
образовательное,false,357,12,38,true,"Times New Roman,Bold",false,62,97,53,5,
учреждение,false,458,12,54,true,"Times New Roman,Bold",false,62,69,64,5,
высшего,false,254,12,0,true,"Times New Roman,Bold",false,77,52,7,5,0.0
образования,false,309,12,8,true,"Times New Roman,Bold",false,77,73,19,5,0.0
РОССИЙСКАЯ,false,144,12,0,true,"Times New Roman,Bold",false,92,94,10,5,0.0
АКАДЕМИЯ,false,241,12,11,true,"Times New Roman,Bold",false,92,77,19,5,0.44465780490343443
НАРОДНОГО,false,322,12,20,true,"Times New Roman,Bold",false,92,85,29,5,
ХОЗЯЙСТВА,false,411,12,30,true,"Times New Roman,Bold",false,92,81,39,5,
и,false,210,12,0,true,"Times New Roman,Bold",false,107,7,1,5,0.0
ГОСУДАРСТВЕННОЙ,false,221,12,2,true,"Times New Roman,Bold",false,107,139,17,5,0.0
СЛУЖБЫ,false,364,12,18,true,"Times New Roman,Bold",false,107,62,24,5,
при,false,167,12,0,true,"Times New Roman,Bold",false,122,22,3,5,0.39164905395343774
ПРЕЗИДЕНТЕ,false,193,12,4,true,"Times New Roman,Bold",false,122,88,14,5,
РОССИЙСКОЙ,false,285,12,15,true,"Times New Roman,Bold",false,122,95,25,5,0.0
ФЕДЕРАЦИИ,false,384,12,26,true,"Times New Roman,Bold",false,122,84,35,5,0.4822681122428943
Институт,false,173,12,0,true,"Times New Roman,Bold",false,152,56,8,5,0.0
государственной,false,233,12,9,true,"Times New Roman,Bold",false,152,98,24,5,0.0
службы,false,334,12,25,true,"Times New Roman,Bold",false,152,45,31,5,
и,false,383,12,32,true,"Times New Roman,Bold",false,152,7,33,5,0.0
управления,false,394,12,34,true,"Times New Roman,Bold",false,152,69,44,5,0.0
Направление,false,79,12,0,false,Times New Roman,true,182,72,11,5,0.3010299956639812
подготовки,false,155,12,12,false,Times New Roman,true,182,63,22,5,0.39164905395343774
41.03.01Зарубежное,false,222,12,23,false,Times New Roman,true,182,111,41,5,
регионоведение,false,336,12,42,false,Times New Roman,true,182,88,56,5,
Направленность,false,79,12,0,false,Times New Roman,true,197,90,14,5,0.3010299956639812
(профиль),false,196,12,15,false,Times New Roman,true,197,56,24,5,
Информационно-аналитическое,false,279,12,25,false,Times New Roman,true,197,177,52,5,0.44465780490343443
обеспечение,false,483,12,53,false,Times New Roman,true,197,69,64,5,0.0
международного,false,79,12,0,false,Times New Roman,true,212,93,14,5,0.0
сотрудничества,false,176,12,15,false,Times New Roman,true,212,87,29,5,0.0
(с,false,267,12,30,false,Times New Roman,true,212,10,32,5,0.0
углубленным,false,280,12,33,false,Times New Roman,true,212,74,44,5,0.3010299956639812
изучением,false,358,12,45,false,Times New Roman,true,212,58,54,5,0.3010299956639812
иностранных,false,420,12,55,false,Times New Roman,true,212,73,66,5,0.44465780490343443
языков),false,496,12,67,false,Times New Roman,true,212,43,74,5,0.4822681122428943
БАКАЛАВРСКАЯ,false,235,12,0,true,"Times New Roman,Bold",false,261,109,12,5,
РАБОТА,false,348,12,13,true,"Times New Roman,Bold",false,261,53,19,5,0.0
«СОЦИАЛЬНЫЕ,false,133,12,0,false,Times New Roman,true,292,97,11,5,0.3010299956639812
СЕТИ,false,234,12,12,false,Times New Roman,true,292,33,16,5,
КАК,false,271,12,17,false,Times New Roman,true,292,26,20,5,0.3010299956639812
ИНСТРУМЕНТ,false,302,12,21,false,Times New Roman,true,292,88,31,5,
ФОРМИРОВАНИЯ,false,393,12,32,false,Times New Roman,true,292,109,44,5,
ОБЩЕСТВЕННОГО,false,146,12,0,false,Times New Roman,true,306,115,13,5,0.44465780490343443
ДОВЕРИЯ,false,265,12,14,false,Times New Roman,true,306,59,21,5,
К,false,328,12,22,false,Times New Roman,true,306,8,23,5,0.555429854985112
ИНСТИТУТАМ,false,340,12,24,false,Times New Roman,true,306,90,34,5,0.0
ВЛАСТИ:,false,434,12,35,false,Times New Roman,true,306,56,42,5,
НА,false,211,12,0,false,Times New Roman,true,321,18,2,5,0.0
ПРИМЕРЕ,false,233,12,3,false,Times New Roman,true,321,60,10,5,
АНГЛИИ,false,297,12,11,false,Times New Roman,true,321,53,17,5,
И,false,354,12,18,false,Times New Roman,true,321,9,19,5,0.0
РОССИИ»,false,367,12,20,false,Times New Roman,true,321,59,27,5,0.6020599913279624
Автор:,false,326,12,0,true,"Times New Roman,Bold",false,367,40,6,5,0.3010299956639812
Обучающийся,false,326,12,0,false,Times New Roman,true,381,79,11,5,
группы,false,409,12,12,false,Times New Roman,true,381,40,18,5,0.3010299956639812
ОБ17-26,false,453,12,19,false,Times New Roman,true,381,47,26,5,
Очной,false,326,12,0,false,Times New Roman,true,396,36,5,5,
формы,false,365,12,6,false,Times New Roman,true,396,38,11,5,
обучения,false,407,12,12,false,Times New Roman,true,396,51,20,5,0.39164905395343774
____________________________,false,348,12,0,false,Times New Roman,true,426,181,28,5,
(подпись),false,412,12,0,false,Times New Roman,true,441,54,9,5,
Махмудова,false,326,12,0,false,Times New Roman,true,471,63,9,5,
