text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федера.льное,false,131,12,0,true,"Times New Roman,Bold",false,62,71,12,5,0.3010299956639812
госуда.рственное,false,205,12,13,true,"Times New Roman,Bold",false,62,90,29,5,0.0
бюджетное,false,299,12,30,true,"Times New Roman,Bold",false,62,59,39,5,
обра.зова.тельное,false,361,12,40,true,"Times New Roman,Bold",false,62,92,57,5,
учреждение,false,456,12,58,true,"Times New Roman,Bold",false,62,64,68,5,
высшего,false,265,12,0,true,"Times New Roman,Bold",false,76,47,7,5,0.0
обра.зова.ния,false,316,12,8,true,"Times New Roman,Bold",false,76,69,21,5,0.0
РОССИЙСКА.Я,false,163,12,0,true,"Times New Roman,Bold",false,89,88,11,5,0.0
А.КА.ДЕМИЯ,false,254,12,12,true,"Times New Roman,Bold",false,89,73,22,5,0.44465780490343443
НА.РОДНОГО,false,330,12,23,true,"Times New Roman,Bold",false,89,79,33,5,
ХОЗЯЙСТВА.,false,412,6,34,true,"Times New Roman,Bold",false,89,77,44,5,
и,false,225,12,0,true,"Times New Roman,Bold",false,103,6,1,5,0.0
ГОСУДА.РСТВЕННОЙ,false,235,12,2,true,"Times New Roman,Bold",false,103,129,18,5,0.0
СЛУЖБЫ,false,368,12,19,true,"Times New Roman,Bold",false,103,58,25,5,
при,false,186,12,0,true,"Times New Roman,Bold",false,117,20,3,5,0.39164905395343774
ПРЕЗИДЕНТЕ,false,210,12,4,true,"Times New Roman,Bold",false,117,81,14,5,
РОССИЙСКОЙ,false,294,12,15,true,"Times New Roman,Bold",false,117,88,25,5,0.0
ФЕДЕРА.ЦИИ,false,386,12,26,true,"Times New Roman,Bold",false,117,79,36,5,0.4822681122428943
Институт,false,179,12,0,true,"Times New Roman,Bold",false,145,56,8,5,0.0
госуда.рственной,false,239,12,9,true,"Times New Roman,Bold",false,145,99,25,5,0.0
службы,false,342,12,26,true,"Times New Roman,Bold",false,145,45,32,5,
и,false,391,12,33,true,"Times New Roman,Bold",false,145,7,34,5,0.0
упра.вления,false,401,12,35,true,"Times New Roman,Bold",false,145,70,46,5,0.0
На.пра.влениеподготовки38.04.04Госуда.рственноеимуниципа.льное,false,99,12,0,false,Times New Roman,true,191,389,62,5,
упра.вление,false,99,12,0,false,Times New Roman,true,206,64,11,5,0.0
Обра.зова.тельна.я,false,99,12,0,false,Times New Roman,true,227,96,18,5,
програ.мма.,false,212,12,19,false,Times New Roman,true,227,62,30,5,0.0
«Межгосуда.рственное,false,289,12,31,false,Times New Roman,true,227,125,51,5,
вза.имодействие,false,431,12,52,false,Times New Roman,true,227,89,67,5,0.44465780490343443
(с,false,537,12,68,false,Times New Roman,true,227,10,70,5,0.0
углубленнымизучениеминостра.нногоязыка.)»,false,99,12,0,false,Times New Roman,true,242,263,41,5,
МА.ГИСТЕРСКА.Я,false,199,15,0,true,"Times New Roman,Bold",false,288,131,14,6,
ДИССЕРТА.ЦИЯ,false,334,15,15,true,"Times New Roman,Bold",false,288,118,27,6,
РОЛЬИИНТЕРЕСЫРОССИИИКИТА.ЯВПРОЕКТЕ«ЭКОНОМИЧЕСКИЙПОЯС,false,105,12,0,false,Times New Roman,true,315,440,52,5,
ШЁЛКОВОГОПУТИ»,false,266,12,0,false,Times New Roman,true,329,118,14,5,
А.втор:,false,340,12,0,true,"Times New Roman,Bold",false,383,41,7,5,0.3010299956639812
обуча.юща.ясягруппыЗМ18-11,false,340,12,0,false,Times New Roman,true,397,159,26,5,
за.очнойформыобучения,false,340,12,0,false,Times New Roman,true,411,130,21,5,
(подпись),false,425,9,0,false,Times New Roman,true,454,41,9,4,
Са.ргисянНа.ринеСуриковна.,false,340,6,0,false,Times New Roman,true,466,150,26,5,
Руководитель:,false,340,12,0,true,"Times New Roman,Bold",false,504,86,13,5,0.3010299956639812
"ка.ндида.тюридическихна.ук,доцент",false,340,12,0,false,Times New Roman,true,518,188,33,5,
ка.федрыза.рубежногорегионоведенияи,false,340,12,0,false,Times New Roman,true,532,208,35,5,
междуна.родногосотрудничества.,false,340,6,0,false,Times New Roman,true,545,172,30,5,
Фа.культета.междуна.родного,false,340,12,0,false,Times New Roman,true,559,151,27,5,
регионоведенияирегиона.льного,false,340,12,0,false,Times New Roman,true,573,170,29,5,
упра.вленияИГСУРА.НХиГС,false,340,12,0,false,Times New Roman,true,587,152,23,5,
_____________________________,false,340,14,0,false,Times New Roman,true,608,202,29,6,
(подпись),false,425,9,0,false,Times New Roman,true,623,41,9,4,
Кова.льВа.силийПетрович,false,340,12,0,false,Times New Roman,true,635,137,23,5,
"Москва.,",false,283,12,0,true,"Times New Roman,Bold",false,763,45,8,5,0.0
2021,false,332,12,9,true,"Times New Roman,Bold",false,763,24,13,5,0.4822681122428943
г.,false,359,12,14,true,"Times New Roman,Bold",false,763,8,16,5,0.0
2,false,323,11,0,false,ABCDEE+Calibri,true,778,5,1,5,0.5114409330385058
СОДЕРЖА.НИЕ,false,273,14,0,true,"Times New Roman,Bold",false,84,104,11,6,
ВВЕДЕНИЕ…..………………………………………………………………...3,false,99,14,0,false,Times New Roman,true,119,448,39,6,
1.,false,99,14,0,false,Times New Roman,true,143,10,2,6,0.555429854985112
КОНЦЕПТУА.ЛЬНЫЕ,false,119,14,3,false,Times New Roman,true,143,136,18,6,
А.СПЕКТЫ,false,264,14,19,false,Times New Roman,true,143,68,27,6,
ПРОЕКТА.,false,343,14,28,false,Times New Roman,true,143,66,36,6,0.3010299956639812
«ЭКОНОМИЧЕСКИЙ,false,417,14,37,false,Times New Roman,true,143,135,51,6,0.0
ПОЯСШЕЛКОВОГОПУТИ»,false,99,14,0,false,Times New Roman,true,168,180,18,6,
........................................................................,false,285,14,19,false,Times New Roman,true,168,250,91,6,0.0
10,false,539,14,92,false,Times New Roman,true,168,14,94,6,0.39164905395343774
1.1,false,99,14,0,false,Times New Roman,true,197,17,3,6,
Инициа.тива.,false,132,14,4,false,Times New Roman,true,197,75,16,6,
«Один,false,221,14,17,false,Times New Roman,true,197,39,22,6,
пояс,false,276,14,23,false,Times New Roman,true,197,27,27,6,
–,false,319,14,28,false,Times New Roman,true,197,7,29,6,0.0
один,false,341,14,30,false,Times New Roman,true,197,29,34,6,
путь»:,false,386,14,35,false,Times New Roman,true,197,37,41,6,0.3010299956639812
экономические,false,439,14,42,false,Times New Roman,true,197,90,55,6,0.0
и,false,545,14,56,false,Times New Roman,true,197,7,57,6,0.0
геостра.тегическиеа.спекты,false,99,14,0,false,Times New Roman,true,221,163,26,6,
.............................................................................,false,268,14,27,false,Times New Roman,true,221,268,104,6,0.0
10,false,539,14,105,false,Times New Roman,true,221,14,107,6,0.39164905395343774
1.2,false,99,14,0,false,Times New Roman,true,250,17,3,6,
Основные,false,121,14,4,false,Times New Roman,true,250,60,12,6,
эта.пы,false,186,14,13,false,Times New Roman,true,250,36,19,6,
реа.лиза.ции,false,227,14,20,false,Times New Roman,true,250,69,32,6,0.0
проекта.Экономический,false,301,14,33,false,Times New Roman,true,250,147,54,6,
пояс,false,453,14,55,false,Times New Roman,true,250,27,59,6,
Шелкового,false,485,14,60,false,Times New Roman,true,250,67,69,6,
