text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федеральное,false,125,12,0,true,"Times New Roman,Bold",false,62,71,11,5,0.3010299956639812
государственное,false,199,12,12,true,"Times New Roman,Bold",false,62,89,27,5,0.0
бюджетное,false,292,12,28,true,"Times New Roman,Bold",false,62,59,37,5,
образовательное,false,354,12,38,true,"Times New Roman,Bold",false,62,90,53,5,
учреждение,false,448,12,54,true,"Times New Roman,Bold",false,62,63,64,5,
высшего,false,259,12,0,true,"Times New Roman,Bold",false,76,47,7,5,0.0
образования,false,310,12,8,true,"Times New Roman,Bold",false,76,68,19,5,0.0
РОССИЙСКАЯ,false,157,12,0,true,"Times New Roman,Bold",false,89,87,10,5,0.0
АКАДЕМИЯ,false,247,12,11,true,"Times New Roman,Bold",false,89,71,19,5,0.44465780490343443
НАРОДНОГО,false,322,12,20,true,"Times New Roman,Bold",false,89,78,29,5,
ХОЗЯЙСТВА,false,404,12,30,true,"Times New Roman,Bold",false,89,75,39,5,
и,false,218,12,0,true,"Times New Roman,Bold",false,103,6,1,5,0.0
ГОСУДАРСТВЕННОЙ,false,229,12,2,true,"Times New Roman,Bold",false,103,128,17,5,0.0
СЛУЖБЫ,false,360,12,18,true,"Times New Roman,Bold",false,103,58,24,5,
при,false,179,12,0,true,"Times New Roman,Bold",false,117,20,3,5,0.39164905395343774
ПРЕЗИДЕНТЕ,false,203,12,4,true,"Times New Roman,Bold",false,117,81,14,5,
РОССИЙСКОЙ,false,287,12,15,true,"Times New Roman,Bold",false,117,88,25,5,0.0
ФЕДЕРАЦИИ,false,379,12,26,true,"Times New Roman,Bold",false,117,78,35,5,0.4822681122428943
Институт,false,184,12,0,true,"Times New Roman,Bold",false,145,52,8,5,0.0
государственной,false,239,12,9,true,"Times New Roman,Bold",false,145,91,24,5,0.0
службы,false,334,12,25,true,"Times New Roman,Bold",false,145,41,31,5,
и,false,378,12,32,true,"Times New Roman,Bold",false,145,6,33,5,0.0
управления,false,388,12,34,true,"Times New Roman,Bold",false,145,64,44,5,0.0
Направление,false,84,12,0,false,Times New Roman,true,186,66,11,5,0.3010299956639812
подготовки:,false,154,12,12,false,Times New Roman,true,186,61,23,5,0.39164905395343774
38.04.01,false,246,12,24,false,Times New Roman,true,186,42,32,5,
Экономика,false,291,12,33,false,Times New Roman,true,186,56,42,5,0.0
Образовательная,false,84,12,0,false,Times New Roman,true,200,86,15,5,
программа:,false,174,12,16,false,Times New Roman,true,200,58,26,5,0.0
